COD. ARTIC.;NOMBRE;STOCK;LISTA 1;LISTA 2;LISTA 3;LISTA 4;CATEGORIA
144;CARTUCHO ALTER. HP 670XL CIAN;50,000;664,99;625,87;508,52;782,34;CARTUCHO TINTA
145;CARTUCHO ALTER. HP 670XL MAGENTA;50,000;664,99;625,87;508,52;782,34;CARTUCHO TINTA
146;CARTUCHO EPSON 82 MAGENTA;30,000;587,27;533,88;462,69;462,69;CARTUCHO TINTA
147;CARTUCHO EPSON 90 NEGRO;10,000;613,96;558,15;483,74;483,74;CARTUCHO TINTA
148;CARTUCHO ALTER. HP 670XL AMARILLO;50,000;664,99;625,87;508,52;782,34;CARTUCHO TINTA
149;CARTUCHO EPSON 135 NEGRO;0,0000;507,20;461,09;399,61;399,61;CARTUCHO TINTA
150;CARTUCHO ALTER. HP 951XL MAGENTA;20,000;664,99;625,87;586,76;508,52;CARTUCHO TINTA
151;CARTUCHO ALTER. HP 950XL NEGRO;10,000;664,99;625,87;586,76;508,52;CARTUCHO TINTA
152;CARTUCHO ALTER. EPSON 206 CYAN;160,000;1329,98;1251,74;1017,04;1564,68;CARTUCHO TINTA
153;CARTUCHO ALTER. EPSON 206 MAGENTA;160,000;1329,98;1251,74;1017,04;1564,68;CARTUCHO TINTA
154;CARTUCHO EPSON 196 NEGRO;0,0000;560,58;509,62;441,67;441,67;CARTUCHO TINTA
155;CARTUCHO ALTER. EPSON 206 AMARILLO;160,000;1329,98;1251,74;1017,04;1564,68;CARTUCHO TINTA
156;CARTUCHO EPSON 197 NEGRO;0,0000;880,90;800,84;694,03;694,03;CARTUCHO TINTA
157;CARTUCHO EPSON 296 NEGRO;0,0000;475,16;431,95;374,37;374,37;CARTUCHO TINTA
158;CARTUCHO EPSON 296 AMARILLO;10,000;758,11;689,19;597,32;597,32;CARTUCHO TINTA
159;BOTELLA EPSON 664 NEGRO;200,000;1841,86;1719,07;1596,28;1473,49;CARTUCHO TINTA
160;BOTELLA EPSON 664 AMARILLO;130,000;1841,86;1719,07;1596,28;1473,49;CARTUCHO TINTA
161;BOTELLA HP GT53 NEGRA 90ML;0,0000;1941,81;1713,36;1484,91;2284,48;CARTUCHO TINTA
162;BOTELLA EPSON 673 CYAN;20,000;730,76;664,32;575,76;575,76;CARTUCHO TINTA
163;CARTUCHO ALTER. EPSON 135;110,000;221,66;208,62;169,51;260,78;CARTUCHO TINTA
164;CARTUCHO ALTER. EPSON 133 AMARILLO;20,000;221,66;208,62;195,59;169,51;CARTUCHO TINTA
165;CARTUCHO ALTER. EPSON 117 NEGRO;60,000;221,66;208,62;169,51;260,78;CARTUCHO TINTA
166;CARTUCHO ALTER. EPSON 73 NEGRO;100,000;221,66;208,62;195,59;169,51;CARTUCHO TINTA
167;CARTUCHO ALTER. EPSON 197 XL N;100,000;554,16;521,56;488,96;423,77;CARTUCHO TINTA
168;CARTUCHO ALTER. HP 21 XL;40,000;1773,30;1668,99;1564,68;1356,06;CARTUCHO TINTA
169;CARTUCHO ALTER. HP 22 XL;40,000;2881,62;2712,11;2203,59;3390,14;CARTUCHO TINTA
170;CARTUCHO ALTER. HP 60 XL NEGRO;60,000;2549,12;2399,18;2249,23;1949,33;CARTUCHO TINTA
171;CARTUCHO ALTER. EPSON 195/196 XL AMARILLO ;110,000;443,33;417,25;391,17;339,01;CARTUCHO TINTA
172;CARTUCHO ALTER. HP 920 XL NEGRO;50,000;554,16;521,56;423,77;391,17;CARTUCHO TINTA
174;TINTA ALTER. EPSON 250ML NEGRO;170,000;485,45;456,90;428,34;371,23;CARTUCHO TINTA
175;TINTA ALTER. EPSON 1L NEGRO;90,000;2427,26;2284,48;2141,70;1856,14;CARTUCHO TINTA
176;LED VERBATIN CLASSIC BULB E27 5W/40W CALIDO;100,000;66,18;60,17;52,14;80,22;LED
178;LED VERBATIN  CLASSIC BULB E27 9W/60W CALIDA;80,000;79,42;72,20;62,57;96,27;LED
180;LED VERBATIN CLASSIC BULB E27 11W/75W CALIDA;60,000;92,66;84,23;73,00;112,31;LED
181;LED VERBATIN CLASSIC BULB E27 14W/100W CALIDA;0,0000;132,37;120,33;104,29;160,45;LED
182;LED VERBATIN CLASSIC GOTA E27 4,5W-30W 2700K CALID;40,000;92,66;84,24;73,00;112,31;LED
183;LED VERBATIN GLOBO E27 9,5W-60W L806 CALIDA;60,000;198,55;180,50;156,43;240,67;LED
184;LED VERBATIN  DICROICA VGU10 4,5W/50W CALIDA;110,000;92,66;84,23;73,00;112,31;LED
185;LED VERBATIN DICROICA VGU5.3 12V 4,8W CALIDA;100,000;109,10;96,27;83,43;128,36;LED
186;LED VERBATIM VELA E14 4,5W-30W L350 CALIDA;30,000;92,66;84,23;73,00;112,31;LED
187;GABINETE SATELLITE GAMING K877 460;20,000;10366,01;9674,94;8983,87;8292,80;GABINETE
188;TIRA DE LUCES LED COLORES 100CM GAMING GABINETE;40,000;2427,26;2284,48;1856,14;1713,36;LED
189;REFLECTOR LED 50W 220V IP65;0,0000;1089,53;961,35;833,17;1281,80;LED
190;TONER ALTER. HP 12A;330,000;970,90;913,79;856,68;742,46;CARTUCHO TONER
191;TONER ALTER. HP 78A LASERJET P1606;110,000;970,90;913,79;856,68;742,46;CARTUCHO TONER
192;TONER ALTER. HP 55A LASERJET P3015DN ;50,000;2912,71;2741,38;2570,04;2227,37;CARTUCHO TONER
193;TONER ALTER. HP 35/36/85A UNIVERSAL;340,000;1213,63;1142,24;1070,85;928,07;CARTUCHO TONER
194;TONER ALTER. HP 310/350A NEGRO LASERJET 126A;10,000;1456,36;1370,69;1285,02;1113,68;CARTUCHO TONER
196;TONER ALTER. HP 81A LASERJET ;80,000;3155,44;2969,82;2784,21;2412,98;CARTUCHO TONER
197;TONER ALTER. HP 79A LASERJET M12/M26A;270,000;1213,63;1142,24;1070,85;928,07;CARTUCHO TONER
198;TONER ALTER. HP 83A LASERJET M127FN ;50,000;970,90;913,79;856,68;742,46;CARTUCHO TONER
199;TONER ALTER. HP 51A ;10,000;1456,36;1370,69;1285,02;1113,68;CARTUCHO TONER
200;TONER ALTER. HP 6511X LASERJET ;20,000;2427,26;2284,48;2141,70;1856,14;CARTUCHO TONER
201;TONER ALTER. HP 105A SIN CHIP - W1105A;90,000;2184,53;2056,03;1927,53;1670,53;CARTUCHO TONER
202;TONER ALTER. HP 90X LASERJET M602 ;40,000;3640,89;3426,72;3212,55;2784,21;CARTUCHO TONER
203;TONER ALTER. HP 17A S/ CHIP LASERJET M102/M1;10,000;1456,36;1370,69;1285,02;1113,68;CARTUCHO TONER
